timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1581846148928,85,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,601527,137,1,1,http://localhost:8080/concerts/data/artists,71,0,1
1581846149013,28,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,28,0,0
1581846149041,122,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,601695,137,1,1,http://localhost:8080/concerts/data/artists,114,0,1
1581846149163,24,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,24,0,0
1581846149187,80,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,601863,137,1,1,http://localhost:8080/concerts/data/artists,69,0,0
1581846149267,29,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,29,0,0
1581846149297,85,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,602031,137,1,1,http://localhost:8080/concerts/data/artists,67,0,0
1581846149382,31,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,31,0,0
1581846149414,82,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,602199,137,1,1,http://localhost:8080/concerts/data/artists,72,0,0
1581846149497,23,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,23,0,0
1581846149521,96,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,602367,137,1,1,http://localhost:8080/concerts/data/artists,80,0,0
1581846149617,28,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,28,0,0
1581846149645,78,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,602535,137,1,1,http://localhost:8080/concerts/data/artists,68,0,1
1581846149723,28,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,28,0,0
1581846149752,85,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,602703,137,1,1,http://localhost:8080/concerts/data/artists,71,0,0
1581846149837,26,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,1,1,http://localhost:8080/concerts/data/artists,26,0,0
1581846149864,311,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,267,0,0
1581846149962,324,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,283,0,0
1581846149972,326,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,277,0,1
1581846149931,367,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,320,0,12
1581846149929,397,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,369,0,1
1581846149939,427,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,386,0,0
1581846149949,426,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,377,0,0
1581846149930,463,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,412,0,0
1581846149971,445,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,375,0,2
1581846149929,493,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,422,0,1
1581846150175,271,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,271,0,0
1581846150302,147,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,147,0,0
1581846150302,150,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,150,0,0
1581846150306,148,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,148,0,0
1581846150327,130,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,130,0,0
1581846150367,97,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,97,0,0
1581846150375,91,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,91,0,0
1581846150393,76,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,76,0,0
1581846150416,57,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,57,0,0
1581846150422,54,MVC Post Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,340,413,19,19,http://localhost:8080/concerts/data/artists,54,0,0
1581846149975,657,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,591,0,0
1581846150018,693,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,642,0,1
1581846150007,728,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,655,0,3
1581846150050,721,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,668,0,2
1581846150000,774,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,714,0,3
1581846150037,778,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,699,0,0
1581846150022,795,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,717,0,5
1581846150030,806,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,712,0,0
1581846150047,794,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,602872,137,19,19,http://localhost:8080/concerts/data/artists,765,0,0
1581846150447,447,MVC Get Artists,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,604552,137,19,19,http://localhost:8080/concerts/data/artists,416,0,1
